AGEP,SEX,PINCP,PUMA,state
31,1,30000,03229,42
30,2,125000,03229,42
75,2,14600,03231,42
80,1,32800,03231,42
56,2,5000,03222,42
82,2,8900,03222,42
73,2,7500,03227,42
29,2,810,03229,42
40,2,33200,03228,42
27,2,71000,03230,42
29,2,70000,03230,42
72,2,11000,03222,42
69,1,175000,03222,42
31,2,60000,03228,42
80,1,44900,03229,42
39,2,90000,03230,42
41,1,103500,03230,42
40,2,40000,03229,42
84,2,24280,03222,42
34,2,14300,03221,42
64,2,29800,03224,42
65,1,88000,03224,42
48,1,110000,03230,42
73,2,69400,03216,42
39,1,45000,03222,42
